rank,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,rating,genre,theaters,runtime,year,profit
1,2019-04-23,Avengers: Endgame,400000000,858373000,2797800564,357115007.0,PG-13,Action,4662.0,181.0,2019.0,2397800564
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,379000000,241071802,1045713802,90151958.0,PG-13,Adventure,4164.0,136.0,2011.0,666713802
3,2015-04-22,Avengers: Age of Ultron,365000000,459005868,1395316979,191271109.0,PG-13,Action,4276.0,141.0,2015.0,1030316979
4,2015-12-16,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2064615817,247966675.0,PG-13,Adventure,4134.0,136.0,2015.0,1758615817
5,2018-04-25,Avengers: Infinity War,300000000,678815482,2048359754,257698183.0,PG-13,Action,4474.0,156.0,2018.0,1748359754
6,2007-05-24,Pirates of the Caribbean: At World’s End,300000000,309420425,960996492,114732820.0,PG-13,Adventure,4362.0,167.0,2007.0,660996492
7,2017-11-13,Justice League,300000000,229024295,655945209,93842239.0,PG-13,Action,4051.0,121.0,2017.0,355945209
8,2015-10-06,Spectre,300000000,200074175,879500760,70403148.0,PG-13,Action,3929.0,148.0,2015.0,579500760
10,2019-12-18,Star Wars: The Rise of Skywalker,275000000,515202542,1072848487,177383864.0,PG-13,Adventure,4406.0,142.0,2019.0,797848487
11,2018-05-23,Solo: A Star Wars Story,275000000,213767512,393151347,84420489.0,PG-13,Adventure,4381.0,135.0,2018.0,118151347
12,2012-03-07,John Carter,263700000,73058679,282778100,30180188.0,PG-13,Adventure,3749.0,132.0,2012.0,19078100
13,2016-03-23,Batman v Superman: Dawn of Justice,263000000,330360194,872395091,166007347.0,PG-13,Action,4256.0,151.0,2016.0,609395091
14,2017-12-13,Star Wars Ep. VIII: The Last Jedi,262000000,620181382,1331635141,220009584.0,PG-13,Adventure,4232.0,150.0,2017.0,1069635141
15,2019-07-11,The Lion King,260000000,543638043,1647778651,191770759.0,PG,Adventure,4802.0,118.0,2019.0,1387778651
16,2010-11-24,Tangled,260000000,200821936,583777242,48767052.0,PG,Musical,3603.0,101.0,2010.0,323777242
17,2007-05-04,Spider-Man 3,258000000,336530303,894860230,151116516.0,PG-13,Adventure,4324.0,139.0,2007.0,636860230
18,2016-04-22,Captain America: Civil War,250000000,408084349,1151918521,179139142.0,PG-13,Action,4226.0,146.0,2016.0,901918521
19,2022-07-01,Thor: Love and Thunder,250000000,343256830,745453552,144165107.0,PG-13,Action,4375.0,119.0,2022.0,495453552
20,2009-07-15,Harry Potter and the Half-Blood Prince,250000000,302089278,929411069,77835727.0,PG,Adventure,4455.0,153.0,2009.0,679411069
